Accession	100SeedWeightCVARS2016	seedmass	Average10seedslength_mm	Average10seedswidth_mm	width2 	denominator	density
UCR_162	11.21	0.1121	5.51	4.07	16.5649	71.6853316231	0.0015637788
UCR_193	11.38	0.1138	6.5	3.29	10.8241	55.2579836928	0.0020594309
UCR_24	22.66	0.2266	8.43	5.99	35.8801	237.5587879364	0.0009538692
UCR_288	11.94	0.1194	5.11	4.63	21.4369	86.0345246525	0.001387815
UCR_3301	6.13	0.0613	3.74	2.42	5.8564	17.2025257074	0.0035634302
UCR_3326	18.03	0.1803	7	5.98	35.7604	196.6030673765	0.0009170762
UCR_3399	11.53	0.1153	5.89	3.38	11.4244	52.8492193619	0.0021816784
UCR_4539	11.67	0.1167	5.81	3.56	12.6736	57.8317067707	0.0020179242
UCR_5164	10.08	0.1008	5.46	3.21	10.3041	44.1868038364	0.0022812241
UCR_5272	10.64	0.1064	5.21	3.68	13.5424	55.4144774184	0.0019200759
UCR_5275	23.28	0.2328	8.21	5.62	31.5844	203.659967264	0.0011430818
UCR_5279	11.75	0.1175	5.13	4.44	19.7136	79.4279194502	0.0014793287
UCR_5280	13.8	0.138	6.04	4.51	20.3401	96.4894661873	0.0014302079
UCR_5329	13.26	0.1326	5.7	4.6	21.16	94.7284432837	0.0013997908
UCR_5353	15.32	0.1532	6.55	4.56	20.7936	106.9697218903	0.001432181
UCR_5385	13.11	0.1311	6.11	4.05	16.4025	78.712034522	0.0016655649
UCR_707	13.21	0.1321	6.32	4.49	20.1601	100.0690188479	0.0013200889
UCR_739	13.88	0.1388	6.44	5.05	25.5025	128.9907313036	0.0010760463
UCR_779	15.73	0.1573	6.13	5.95	35.4025	170.4450084804	0.0009228783
UCR_830	12.07	0.1207	5.63	4.14	17.1396	75.7877403345	0.0015926059
VAR-10B	15.84	0.1584	5.95	4.98	24.8004	115.8952222386	0.0013667518
VAR-3A	14.65	0.1465	6.38	4.69	21.9961	110.2189439374	0.0013291726
Vya	19.45	0.1945	7.66	5.76	33.1776	199.6014159715	0.000974442
Xingove	21.17	0.2117	7.57	5.65	31.9225	189.7940776339	0.0011154194
Yacine	20.26	0.2026	7.27	5.68	32.2624	184.2132919684	0.0010998121
