Accession	100SeedWeightCVARS2016	seedmass	Average10seedslength_mm	Average10seedswidth_mm	width2 	denominator	density
TVu-1556	7.2	0.072	4.52	2.87	8.2369	29.240992517	0.0024622967
TVu-15591	23.24	0.2324	8.57	5.68	32.2624	217.1537705872	0.0010702094
TVu-15610	18.01	0.1801	8.1	5.58	31.1364	198.0812181359	0.000909223
TVu-15636	15.95	0.1595	6.57	4.97	24.7009	127.4582726173	0.0012513899
TVu-15639	24.39	0.2439	8.28	6	36	234.1114845455	0.0010418113
TVu-15653	17.64	0.1764	8.07	5.01	25.1001	159.0885295996	0.0011088166
TVu-15661	18.21	0.1821	7.18	5	25	140.9789703298	0.001291682
TVu-15687	14.09	0.1409	6.87	4.97	24.7009	133.2782850656	0.0010571865
TVu-15775	16.11	0.1611	6.76	4.83	23.3289	123.8599324472	0.0013006627
TVu-1583	9.84	0.0984	4.77	3.7	13.69	51.2875210875	0.0019185954
TVu-15861	8.53	0.0853	4.83	3.09	9.5481	36.220460785	0.0023550225
TVu-15878	12.34	0.1234	6.35	4.04	16.3216	81.4003621145	0.0015159638
TVu-15926	8.5	0.085	4.94	2.67	7.1289	27.6591833372	0.0030731204
TVu-15973	8.7	0.087	4.35	3.41	11.6281	39.7271944695	0.0021899357
TVu-15995	10.21	0.1021	5.04	4	16	63.3345078964	0.0016120754
TVu-1609	16.46	0.1646	7.05	5.21	27.1441	150.2984303239	0.0010951545
TVu-16220	6.51	0.0651	4.79	2.4	5.76	21.6694494874	0.0030042295
TVu-16237	12.01	0.1201	7.66	4.4	19.36	116.4726626763	0.0010311433
TVu-16269	12.24	0.1224	7.94	3.62	13.1044	81.7198432379	0.0014978002
TVu-16278	15.73	0.1573	6.86	4.72	22.2784	120.032263082	0.001310481
TVu-16304	8.17	0.0817	6.83	2.74	7.5076	40.2727893679	0.002028665
TVu-16368	15.72	0.1572	7.19	4.4	19.36	109.3261677079	0.0014378991
TVu-1637	12.01	0.1201	5.84	4.29	18.4041	84.4145506197	0.0014227405
TVu-16403	11.25	0.1125	5.9	4.25	18.0625	83.6989005256	0.0013441037
TVu-16408	11.95	0.1195	5.44	4.31	18.5761	79.3676134376	0.0015056519
TVu-16449	9.06	0.0906	5.45	3.13	9.7969	41.9348466051	0.0021604944
TVu-16465	12.79	0.1279	5.95	4.79	22.9441	107.2205113048	0.0011928688
TVu-16504	16.58	0.1658	6.87	4.66	21.7156	117.1705454931	0.0014150314
TVu-16505	16.95	0.1695	7.25	4.67	21.8089	124.1828575415	0.0013649227
TVu-16521	4.69	0.0469	3.1	1.89	3.5721	8.6971144164	0.0053925932
TVu-16594	13.78	0.1378	6.18	4.54	20.6116	100.0437730093	0.0013773971
TVu-1715	19.69	0.1969	7.97	5.85	34.2225	214.2199605155	0.0009191487
TVu-1727	23.7	0.237	8.36	6.85	46.9225	308.0897868921	0.0007692563
TVu-1775	20.85	0.2085	8.44	5.49	30.1401	199.7915043182	0.0010435879
